2026-04-26 15:53:50,429 | INFO     | registry_agent_v7 |       SOFTWARE: 50,000 keys (12344 keys/sec)
2026-04-26 15:53:53,838 | INFO     | registry_agent_v7 |       SOFTWARE: 100,000 keys (13405 keys/sec)
2026-04-26 15:53:57,603 | INFO     | registry_agent_v7 |       SOFTWARE: 150,000 keys (13364 keys/sec)
2026-04-26 15:54:01,868 | INFO     | registry_agent_v7 |       SOFTWARE: 200,000 keys (12912 keys/sec)
2026-04-26 15:54:06,405 | INFO     | registry_agent_v7 |       SOFTWARE: 250,000 keys (12483 keys/sec)
2026-04-26 15:54:07,141 | INFO     | registry_agent_v7 |     Done: SOFTWARE: 256,889 keys, 407,653 values, 154.25 MB, 20.76s
2026-04-26 15:54:07,144 | INFO     | registry_agent_v7 |     Parsing SYSTEM -> SYSTEM.jsonl (JSONL)...
2026-04-26 15:54:11,382 | INFO     | registry_agent_v7 |       SYSTEM: 50,000 keys (11796 keys/sec)
2026-04-26 15:54:15,682 | INFO     | registry_agent_v7 |     Done: SYSTEM: 99,995 keys, 170,166 values, 75.89 MB, 8.54s
2026-04-26 15:54:15,977 | INFO     | registry_agent_v7 |   ✓ HTML report written: C:\Users\sujay\Desktop\dfir-automation\test_out_fixed\parsed_artifacts\registry\forensic_registry_report.html
2026-04-26 15:54:16,060 | INFO     | dfir.orchestrator | === Pipeline complete at 2026-04-26T15:54:16 ===
2026-04-26 15:54:16,062 | INFO     | dfir.orchestrator | Agents: ['registry']
2026-04-26 15:54:16,063 | INFO     | dfir.orchestrator | Total findings: 0
2026-04-26 15:54:16,064 | INFO     | dfir.orchestrator | Final report: C:\Users\sujay\Desktop\dfir-automation\test_out_fixed\reports\final_forensic_report.html
2026-04-26 15:54:58,803 | INFO     | dfir.llm | Ollama: model 'phi3:mini' ready
2026-04-26 15:54:59,120 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: SYSTEM (30,146,560 bytes)
2026-04-26 15:54:59,724 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: SOFTWARE (72,876,032 bytes)
2026-04-26 15:54:59,919 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: SAM (131,072 bytes)
2026-04-26 15:54:59,926 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: SECURITY (65,536 bytes)
2026-04-26 15:54:59,935 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: DEFAULT (524,288 bytes)
2026-04-26 15:54:59,967 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: Amcache.hve (2,097,152 bytes)
2026-04-26 15:54:59,976 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: NTUSER.DAT (262,144 bytes)
2026-04-26 15:55:00,001 | INFO     | registry_agent_v7 |     âœ“ Win32 copy: NTUSER.DAT (1,572,864 bytes)
2026-04-26 15:55:00,520 | INFO     | registry_agent_v7 |     Parsing AMCACHE -> AMCACHE.jsonl (JSONL)...
